instituciones,titulos,autores,contribuidores,resumenes,grados,niveles,años,diciplinas,level
Universidad Nacional del Altiplano,Análisis y caracterización de los factores de desgaste laboral en los profesionales de salud del Hospital Regional Manuel Núñez Butrón y EsSalud de Puno en el año 2005,"Masias Gutierrez, Luis Alberto","Paredes Quispe, Juan Reynaldo","Los profesionales de salud que laboran en el Hospital Regional Manuel Nuñez Butrón y en EsSalud de Puno no son ajenos a la realidad de desgaste profesional razón por la que se realizó la investigación a fin de identificar, analizar y caracterizar los factores laborales que influyen en el desgaste laboral de los profesionales de salud. Para el estudio se realizó una muestra de 106 profesionales de salud del Hospital Manuel Nuñez Butrón y 89 profesionales de EsSalud. Se hizo uso del Análisis de Correspondencias Múltiples y el Análisis de los Componentes Principales, se utilizó la escala de Desgaste Profesional (Maslach y Jackson). Concluyendo que en el Hospital Manuel Nuñez Butrón tienen una edad avanzada promedio de 48 años, trabajan en tres lugares y en ambos turnos, tienen exceso de carga laboral y no dedican el tiempo a su esparcimiento personal y a su familia, creen que existe una burocracia excesiva y una escasa posibilidad de promoción. En EsSalud la mayoría de los profesionales tienen una edad promedio 39 años, trabajan en dos lugares y en ambos turnos, pero no tienen miedo a cometer errores dentro de su jornada laboral, y la gran mayoría no ha tenido denuncias por mala praxis, tienen exceso de carga laboral y por consecuencia no dedican el tiempo necesario a su esparcimiento personal y a su familia, creen que existe una burocracia excesiva dentro de la institución por lo cual una escasa posibilidad de promoción.",Ingeniero Estadístico e Informático,Título Profesional,2006,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Desarrollo del sistema de información multiusuario para admisión del hospital de Ilave – 2007,"Auquitias Condori, Gladys Marleny","Quispe Mamani, Godofredo","El presente trabajo de investigación, se desarrolló en el Hospital de Ilave específicamente para el servicio de atención al usuario en Admisión. Es importante indicar que el área de admisión trabajaba anteriormente con una sola ventanilla lo cual demandaba mayor tiempo en la atención y por tanto se generaban colas extensas causando así malestar en el usuario. Razón por lo cual se ha desarrollado un Sistema de Información Multiusuario con el objetivo de optimizar la atención en el área de Admisión del hospital de Ilave. Para el desarrollo del sistema se utilizó el modelo de desarrollo espiral y el lenguaje de modelamiento unificado con lo cual se pudo generar los diagramas referentes al análisis y diseño del sistema. Ello nos llevó a la implementación y documentación del Sistema de Admisión, para la validación del sistema se hizo uso del ISO 9126 con lo cual se pudo verificar los requerimiento y realizar las pruebas de funcionalidad del sistema. Teniendo como resultado un sistema multiusuario con lo cual se generaron más puntos de atención en el área de Admisión. De esta manera se abordó uno de los principales problemas en la atención al usuario. Al culminar el presente trabajo de investigación se llegó a la conclusión de que el servicio de atención al paciente ha mejorado de esta manera que se pudo minimizar el tiempo de atención al usuario en el Hospital de Ilave.",Ingeniero Estadístico e Informático,Título Profesional,2007,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,"Deficit habitacional de viviendas, por provincias de la región de Puno, según Censo de Población y Vivienda del 2005","Mamani Quispe, Jorge Luis","Azañero de Aguirre, Emma Orfelinda","El presente trabajo de investigación se desarrolló en base al software REDATAM CPV-2005, donde el resultado final nos muestra con un déficit habitacional de vivienda que alcanza a 388 410 habitantes, que hacen un 31.18 % en la Región de Puno, dicho proceso de análisis se determina tal como sigue: La realización del Censo X de población y V de Vivienda del 2005, fue muy importante puesto que nos dio la facilidad de contar con datos oficiales y reales, para de esa manera realizar los cálculos con datos al 100%, puesto que tuvimos acceso a la información del CD software gracias a la ODEI-Puno. De esta manera se divide en TRES CATEGORÍAS, donde se realizan los cálculos que el análisis nos exige, para luego determinar el déficit Cuantitativo de acuerdo a la condición de construcción de las viviendas y también para determinar el Déficit Cualitativo de acuerdo a la condición de servicios básicos que cuenta la vivienda. Y por último se adiciona el déficit cuantitativo y cualitativo, de esta manera se determina según la formula el Déficit Habitacional de Viviendas de la Región de Puno según Provincias, así obteniendo cifras reales de un alto déficit habitacional de Viviendas que indica la situación precaria en que viven los habitantes de nuestra región, de tal manera también refleja el nivel de pobreza en que se encuentra sumergida nuestra región.",Ingeniero Estadístico e Informático,Título Profesional,2007,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Software de consulta virtual para la atención al usuario en la biblioteca especializada de la FINESI-UNA - Puno - 2008,"Galarza Lerma, Roxana","Apaza Tarqui, Alejadro","Las bibliotecas especializadas poseen colecciones ricas sobre un área específica, están diseñadas para responder a necesidades profesionales concretas y ponerlos al alcance de los usuarios, con criterios y métodos de búsqueda eficiente de los contenidos. Actualmente la consulta bibliográfica en la biblioteca especializada de la FINESI-UNA-PUNO es manual y poco eficiente, por lo que obtener información requerida demanda mucho tiempo, además la presencia física del usuario es indispensable. El objetivo de la presente investigación fue iimplementar un Software de consulta virtual que mejore la atención al usuario en la Biblioteca Especializada de la FINESI-UNA–PUNO. La metodología para la implementación del software consistió en utilizar el modelo espiral, para analizar y diseñar módulos de consulta bibliográfica específicas se efectuó entrevistas y prototipos a los usuarios los que fueron implementados con lenguaje de programación Php, Java Script; y tecnología Ajax. Para medir la aceptación del software fue probado con una muestra de 49 estudiantes, con un 90% de confianza y la prueba estadística Z para proporciones. Las conclusiones fueron: Se logró diseñar el Software de consulta virtual logrando mejorar el servicio de atención al usuario en la Biblioteca especializada de la FINESI-UNA–PUNO donde más del 80 % de usuarios califico al software como eficiente permitiendo agilizar los préstamos y devoluciones de bibliografía reduciendo el tiempo significativamente. Se implementó módulos de información adicional que permiten facilitar la elección de su consulta con un diseño de interfaz de fácil manipulación",Ingeniero Estadístico e Informático,Título Profesional,2009,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,"Factores educativos que determinan el buen desempeño de los docentes del proyecto kawsay en la enseñanza en educación intercultural bilingüe (E.I.B.) en la Provincia de Azángaro, año 2009","Luna Mansilla, Catherine","Mendoza Mollocondo, Charles Ignacio","El Ministerio de Educación en coordinación con el proyecto Kawsay de CARE-PERÚ promueve la capacitación docente para mejorar el desempeño de los mismos en el marco de la Educación Intercultural Bilingüe en la provincia de Azángaro, ya que muchas veces los docentes no satisfacen con su desempeño debido a muchos factores. Es por tal motivo que en la presente investigación se tiene como objetivo; determinar los factores educativos que influyen en el buen desempeño de los docentes del proyecto Kawsay en la enseñanza en Educación Intercultural Bilingüe (E.I.B.), en la provincia de Azángaro, 2009. En la presente investigación se trabajó con el total de la población de docentes en Educación Intercultural Bilingüe, que en número son 223. Las variables a analizar son la planificación curricular, organización de equipos de trabajo, desarrollo de actividades de aprendizaje y uso de materiales educativos como variables independientes el desempeño docentes como única variable dependiente. El estadístico de prueba que se aplicó para analizar los resultados fue la Ji-cuadrada para la independencia de variables, con ∝ =0.05. Se determinó que la planificación curricular, el desarrollo de la actividad de aprendizaje y el uso de materiales educativos influyen (p< α) en el desempeño de los docentes del proyecto Kawsay en la enseñanza en Educación Intercultural Bilingüe (E.I.B.).",Ingeniero Estadístico e Informático,Título Profesional,2010,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Sistema de información de taxonomía Ii de las intervenciones de enfermería del Hospital Manuel Núñez Butrón - Puno 2010,"Cruz Ibañez, Lizet Milena","Huata Panca, Percy","La ineficiencia en el diagnóstico que es realizado manualmente tiene errores en la valoración la que en la mayoría de los casos conduce a la formulación de diagnósticos equivocados u omitir diagnósticos que deberían haberse realizado; falta de precisión en los términos principalmente motivo de la inexperiencia en la utilización de Diagnósticos de Enfermería, por tal fin esta tesis tiene por objetivo general Desarrollar un sistema de información para Procesos de Atención de Enfermería Taxonomía II de las Intervenciones de Enfermería para los profesionales en enfermería en el Hospital Manuel Núñez Butrón, 2010. En este trabajo de investigación se utilizó la tecnología orientado a objetos con el uso del método del lenguaje de modelado unificado (UML) para modelar el análisis y diseño del sistema de información; el modelo de base de datos utilizado es el relacional, los primeros pasos a seguir es la implantación de la actividad de normalización, al definir mediante documentos técnicos la metodología seguida en el desarrollo de un proceso. Se concluye pudiendo afirmarse que el proyecto nace ante el intento de proporcionar a todos los profesionales de enfermería del sistema integrado de salud, un lenguaje común y una metodología homogénea, metodología relativa al propio proceso de atención de enfermería, para que pueda mejorar la calidad de los cuidados de enfermería",Ingeniero Estadístico e Informático,Título Profesional,2010,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Desempeño pedagógico de los docentes en computación e informática en las instituciones educativas secundarias estatales de la ciudad de Juliaca – 2010,"Calla Larico, Vilma","Apaza Tarqui, Alejandro","Este trabajo de tesis se desarrolló con el propósito de Determinar el Nivel de Desempeño Pedagógico de los Docentes del Área de Computación e Informática en las Instituciones Educativas Secundarias Estatales de la ciudad de Juliaca – 2010. Para el proceso de determinación del nivel de desempeño pedagógico de los docentes, se utilizó una muestra de 53 alumnos de secundaria que desarrollaron el curso de Computación e Informática a quienes posteriormente se les aplicó un cuestionario de 7 preguntas con respuestas múltiples, aplicándose la escala de likert, para la contrastación de las respectivas hipótesis. Se empleo la prueba de hipótesis de la media aritmética muestral ponderada con el nivel de confianza del 95% conformándose con la distribución normal para la toma de decisiones. Por lo cuál se llegó a la conclusión que el Desempeño Pedagógico de los Docentes del Área de Computación e Informática en las Instituciones Educativas Secundarias Estatales de la ciudad de Juliaca – 2010 es REGULAR.",Ingeniero Estadístico e Informático,Título Profesional,2010,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Sistema de automatización para los procesos de administración y búsqueda de la biblioteca especializada de la Institución Educativa Secundaria Mariano H. Cornejo Comercio 32 de la ciudad de Juliaca 2010,"Quispe Puma, Julio Cesar","Ticona Hancco, Walter Godofredo","La Institución de Educación Secundaria Mariano Hilario Cornejo “Comercio 32”, se encuentra ubicado en la Provincia de San Román con una población estudiantil de tres mil estudiantes distribuidos en los diferentes grados, la institución requiere de una biblioteca especializada que brinde mayor facilidad a los alumnos que son los usuarios directos para fomentar la lectura y la investigación, cuyo propósito fue Implementar y diseñar algoritmos de digitalización e Implementar la Base de Datos Distribuida para la Biblioteca especializada de la institución educativa. La metodología usada es la programación estructurada con la independencia y personalización del uso de controles comunes en lenguaje C++. La población estuvo conformada por todos los Estudiantes de la institución educativa secundaria Mariano Hilario Cornejo Comercio 32 de la ciudad de Juliaca, con los cuales se realizó para optimizar la aplicación e implantación, concluyendo que la administración del sistema y Red para la Digitalización de la Biblioteca Especializada mejoró en el tiempo, costo y calidad de la búsqueda de libros digitales para los estudiantes",Ingeniero Estadístico e Informático,Título Profesional,2011,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Grado de satisfacción del cliente frente a los servicios que brinda la quinta restaurant y complejo deportivo el bosque E.I.R.L de la ciudad de Juliaca – 2011,"Barrantes Yucra, Gladys","Apaza Tarqui, Alejandro","En los clientes de la quinta restaurant y complejo deportivo el Bosque E.I.R.L de la ciudad de Juliaca frecuentemente se ha podido observar frustración amargura y descontento en cuanto al servicio que recibían. El presente trabajo de investigación, tuvo como objetivo el evaluar la calidad en el servicio para determinar el grado de satisfacción del cliente. y con estos resultados llegar a la mejora del servicio de la calidad de esta quinta. Para realizar esta investigación se consideró como población a los clientes mayores de edad que acudieron a la quinta restaurant y la muestra estuvo constituida por 161 clientes que se encuestaron durante 2 días. Se utilizó un muestreo aleatorio simple. Para medir la satisfacción se utilizó un cuestionario elaborado con la escala de Likert con 35 preguntas apoyado bajo la metodología SERVQUAL (Service of Quality) creado por Zeithaml, Parasuraman, (ver pág. 12), que determina 5 dimensiones para el estudio como son: Producto, Servicio, Ambiente, Accesibilidad, Seguridad. La variable en estudio fue la satisfacción del cliente. Del análisis de los cuestionarios se obtuvo que un 46.55% estuvieron satisfechos y un 53.45% estuvieron insatisfechos en cuanto al servicio que recibieron y el grado de satisfacción según SERVQUAL dio como resultado de -0.614 esto quiere decir que la percepción del cliente está por debajo de las expectativas que significa existe insatisfacción en cuanto al servicio que brinda.",Ingeniero Estadístico e Informático,Título Profesional,2011,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,"Modelo estocástico markoviano para predecir las descargas del río Ilave, periodo 1970 -2 010","Chambi Arucutipa, Yanina Maritza","Morillos Valderrama, Santos O.","En razón de no contar con un modelo de pronóstico de las descargas hidrológicas medias anuales del Rio Ilave, el presente trabajo de investigación se realizó bajo el siguiente objetivo: “Determinar un Modelo Estocástico Markoviano de mejor ajuste para pronosticar las descargas hidrológicas medias anuales del Rio Ilave para el periodo 2011 al 2015”. La serie estuvo constituida por las descargas hidrológicas medias anuales del Rio Ilave, con datos anuales desde 1970 hasta 2010, para el análisis de la serie se utilizó la metodología estadística de Andrei Andrevich Markov el cual proporciona modelos de pronostico y se validó mediante la prueba de autocorrelaciones de Ljung-Box para los residuales. Finalmente se concluyó qué, el mejor Modelo Estocástico Markoviano fue el de tercer orden: Xt = 0.19691144Xt-1 + 0.18994567Xt-2 - 0.16402799Xt-3 + 0.95291325εt y con el cual se pronosticó las descargas medias anuales del Rio Ilave para el periodo 2011 al 2015.",Ingeniero Estadístico e Informático,Título Profesional,2012,Ingeniería Estadística e Informática,pregrado
