instituciones,titulos,autores,contribuidores,resumenes,grados,años
Universidad Nacional de San Antonio Abad del Cusco,Acción laboral y formación profesional de los administradores en el marco de los cambios del entorno global,"Huaman Naula, Nicanor","Borda Pilinco, Manrique","La investigación que se presenta a continuación es un estudio de tipo correlacional entre los principales cambios del entorno global, la acción laboral y formación profesional de los administradores, basado en la percepción de los profesionales en administración y estudiantes de los últimos ciclos de las Carreras Profesionales de Administración de las dos Universidades más importantes de la Ciudad del Cusco como son: La Universidad de San Antonio Abad del Cusco y la Universidad Andina de Cusco, durante el año 2003. El estudio fue realizado en 130 profesionales de administración y 136 estudiantes de los últimos ciclos (8º al 10º) de la Carrera Profesional de Administración, a través una encuesta de 49 y 47 preguntas respectivamente, divididos en 3 áreas de interés común y 1 área de interés diferenciada. Los resultados hallados permiten afirmar que los cambios dramáticos ocurridos durante los últimos años llegaron a generar nuevos paradigmas de carácter global, los cuales repercutieron a su vez en el surgimiento de nuevos modelos organizacionales, competencias profesionales y agendas empresariales. No obstante, tanto los profesionales como los estudiantes afirman que dichos cambios no se reflejan necesariamente en las organizacionales donde laboran ni en las Carreras Profesionales donde estudian. Tanto unos como otros afirman que las organizaciones laborales y las Universidades tardan en asimilar, implementar y adaptar sus estructuras y procesos a los nuevos paradigmas, modelos, competencias y agendas empresariales.",Maestro en Administración,2004
Universidad Nacional de San Antonio Abad del Cusco,Estabilidad estructural de sistemas dinámicos autónomos no lineales a través de ciclos límites y su visualización computacional,"Choque Huaman, Patricio","Velasquez Hacha, Ignacio","El estado de un sistema dinámico se describe por las coordenadas de un punto en el espacio fásico y a medida que el tiempo avanza, ese punto describe una trayectoria u órbita; para regresar de nuevo a si mismo, entonces la órbita es cerrada. La existencia de soluciones periódicas depende de las propiedades topológicas y la relación entre la posición de un punto actual y después de un tiempo “t”. La propiedad más importante de un sistema dinámico es su comportamiento cualitativo a largo plazo. La esencia de un atractor es que es alguna porción del espacio de fases, tal que cualquier punto que comienza a moverse en sus proximidades se aproxima cada vez más a él. Surge así el problema de gran importancia práctica, el de hallar las condiciones bajo las cuales una variación arbitrariamente pequeña en las funciones de definición del sistema dinámico, ocasiona una variación arbitrariamente pequeña de la solución. En este contexto, en este trabajo de tesis se determina la estabilidad estructural de sistemas dinámicos autónomos no lineales a través de ciclos límite y se visualiza computacionalmente los espacios de fases y campos de flujo de estos sistemas utilizando el software mathematica versión 5.1. Con este propósito, se inicia el trabajo con la sustentación científica de la investigación, se pone énfasis en los flujos asociados, conjugación de sistemas, sistemas hiperbólicos, campos vectoriales, sistemas autónomos no lineales, singularidades hiperbólicas, singularidades no hiperbólicas y la estabilidad en el sentido de Liapunov. A continuación, se describen e interpretan los ciclos límite y la estabilidad estructural de sistemas autónomos no lineales, utilizando el teorema de linealización de Hartman -Grobman, teorema de la variedad estable, el teorema de Liapunov y el teorema de Poincaré - Bendixon. Finalmente se presentan las aplicaciones a la electrónica el oscilador de Van Der Pol y a la ecología el modelo presa-depredador, utilizando todas las herramientas matemáticas y computacionales expuestas en la parte anterior. En éste trabajo de investigación se utilizó el método deductivo, puesto que se determinó en forma general la estabilidad estructural de sistemas dinámicos autónomos no lineales n-dimensionales a través de ciclos límite, para luego particularizarla a sistemas autónomos no lineales bidimensionales. La técnica utilizada fue el análisis, puesto que se analizó las soluciones periódicas de sistemas dinámicos autónomos no lineales.",Maestro en Matemáticas,2008
Universidad Nacional de San Antonio Abad del Cusco,Efectos de un programa de entrenamiento vocálico articulatorio personalizado en el tratamiento de dislalia funcional en educandos con retardo mental del Centro de Educación Especial San Miguel de Sicuani,"Taipe Mendoza, Marisol Marlene","Pacheco Sota, Vilma Aurora","El objetivo del presente trabajo de investigación es evaluar los efectos de un programa reeducativo de entrenamiento vocálico articulatorio personalizado en el tratamiento de la dislalia funcional de niños con Retardo Mental del Tercer Ciclo de Educación Primaria del Centro de educación Especial “San Miguel” de Sicuani. Es una investigación de suma importancia porque ayuda a resolver una problemática y atender la urgente necesidad de los niños dislálicos con retardo mental al desarrollar su capacidad comunicacional hasta su mayor zona de desarrollo próximo, este es un derecho que tienen, básicamente por su condición de personas y un deber que quepa a toda la comunidad en general y en particular a todo educador que labore-ton niños con necesidades educativas especiales. La implicancia de la investigación tiene que ver pues con el respeto a las normas y estándares de las necesidades educativas especiales, tanto como con la posibilidad de crear propuestas viables en y para nuestro medio.",Título de Segunda Especialidad Profesional en Educación Especial,2008
Universidad Nacional de San Antonio Abad del Cusco,"Estudio pronóstico de demanda de energía y potencia para el período 2006 – 2025 de: San Martín de los Andes, Junín de los Andes, Villa La Angostura, Chos Malal y Rincón de los Sauces, realizado para EPEN Argentina- ente provincial de energía de Neuquén","Flores Zambrano, Italo Roberto","GonzAles Vargas, Mario","En el presente informe Técnico se desarrolla el Estudios Pronóstico de Demanda de Energía y Potencia para el período 2006 — 2025 de las Áreas: San Martín y Junín de los Andes, Villa La Angostura, Chos Malal y Rincón de los Sauces — Neuquén Argentina, en las que el EPEN “Ente Provincial de Energía del Neuquén” presta el servicio eléctrico, estudio encargado a la Empresa Consultora en Energía SIGLA S.A. y realizada por los Consultores de Área de Ingeniería. Los resultados obtenidos fueron utilizados en el estudio de Planificación del crecimiento de la red de distribución y de las SET MT/BT para el período 2006-2016 en zonas de estudio y en la revisión tarifaria del periodo 2009 - 2013. Como parte del presente informe se incluye un capítulo donde se expone un ejemplo de Planificación de las Redes de Distribución Eléctrica, con el objetivo de tener un panorama más preciso de la importancia de los estudios de demanda para las empresas Distribuidoras de Energía y las empresa de Transporte, adicionalmente en el Anexo 6 se muestra algunas normas y esquemas unifilares utilizados de referencia en el área de estudio y en el Anexo 7 el análisis de flujo de potencia para los años 2005 y 2010. Finalmente se hacen las conclusiones y sugerencias de acuerdo a los problemas presentados durante la elaboración estudio.",Ingeniero Electricista,2008
Universidad Nacional de San Antonio Abad del Cusco,Optimización de los sistemas de protección eléctrica en equipos del sistema de comunicación vía satélite de la Policía Nacional del Perú - Cusco,"Herrera Velasco, Jose Paul","Loaiza Cuba, Wilbert Julio","La experiencia en la operación de los equipos del sistema de comunicación vía satélite, así como de los equipos existentes en este entorno, ha permitido conocer el origen de las interferencias y/o fallas. En este contexto en el presente trabajo, se plantea el mejoramiento del sistema de protección para los equipos conformantes de la comunicación vía satélite de la Policía Nacional del Perú sede Cusco, y de este modo evitar los efectos de las descargas atmosféricas, y los disturbios ocasionados por las redes de energía eléctrica debido a la conmutación de sistemas y grandes cargas inductivas. El objetivo general del trabajo es Mejorar el Sistema de Protección para los equipos de comunicación de tal modo que se reduzca fundamentalmente la posibilidad de que aparezcan tensiones importantes entre elementos metálicos adyacentes con un adecuado sistema de puesta a tierra y coordinado con otros elementos de protección como los protectores, descargadores, dispositivos activos de supresión de transitorios, en todo lo que este referido a cables, conexiones y posibles vías de ingreso de transitorios que puedan provocar daños en forma parcial o total a los equipos. En el primer capítulo se da a conocer la parte de generalidades, planteamiento del problema y objetivos; en el segundo capítulo se describe el marco teórico y metodología; en el tercer capítulo se hace una evaluación del sistema de protección existente; en el cuarto capítulo se plantea el mejoramiento del sistema de protección con una breve introducción teórica de los sistemas de protección.",Ingeniero Electricista,2009
Universidad Nacional de San Antonio Abad del Cusco,"Resistencia de cuatro híbridos fhia de banano (Musa acuminata x balbisiana Colla) a sigatoka negra (Mycosphaerella fijiensis Morelet) en Sahuayaco, La Convención","Depaz Molina, Karen Eva","Céspedes Del Pozo, Wilton Henry","La investigación se realizó en el Centro Agrario Tropical “CAT-Sahuayaco” – UNSAAC. Echarati, durante el 2do. Semestre de 2001, todo el año 2002 hasta el 1er. semestre de 2003. Gracias a un convenio del SENASA (Servicio Nacional de Sanidad Agraria) y la UNSAAC a través de la facultad de Ciencias Agrarias Tropicales; denominado: “Convenio de Evaluación de la Resistencia de Genotipos de Plátano a la Sigatoka negra”, en el cual se ejecutó dicho trabajo de tesis. Se estableció un experimento, en un diseño en bloques completos al azar. Se evaluaron 05 tratamientos con 03 repeticiones (cuatro clones híbridos introducidos FHIA-02, FHIA-03, FHIA-18, FHIA-23 y como testigo el clon local Seda), la unidad experimental constó de 20 plantas, realizándose evaluaciones semanales. De un modo general, el híbrido FHIA-23 se destacó de las demás por sus excelentes características agronómicas (porte mediano, buena producción, pseudotallo robusto, de sabor semejante al de las bananas del tipo Seda y ausencia de Sigatoka amarilla). Los resultados obtenidos permiten inferir que el híbrido FHIA-23 constituye una buena opción para eventuales siembras comerciales de banano en la localidad de Sahuayaco y en otras con suelo y clima similares de la Provincia, tanto por sus características productivas como por su condición de resistencia a la Sigatoka negra. En general para los clones introducidos las características agronómicas como AP (altura de planta), número de NHF (hojas funcionales a la floración y Cosecha), etc. fueron similares a los reportados por la FHIA (1997); sin embargo, los DF (días a floración) y Ciclo de cultivo (DC) en nuestra región fue mucho mayor de lo reportado, lo cual puede considerarse un índice adverso del traslado del material vegetativo o una eventual adaptación a la zona de estudio.",Ingeniero Agrónomo Tropical,2010
Universidad Nacional de San Antonio Abad del Cusco,Efectos de las plantas espontáneas o K'ipas como hospedero para las plagas del cultivo de papa en dos comunidades de la provincia de Urubamba-Cusco,"Huamán Pante, Yanet Mercedes","Catalán Bazán, Wilfredo","La pérdida de los sistemas de cultivo sectorial denominados como “laymes y/o muyos”, originó un desorden en la instalación de cultivos de papa en los campos de cultivo, que favorecieron a la proliferación de plagas, enfermedades y nematodos. En estos campos de cultivo los tubérculos de papa abandonados, constituidos en plantas k'ipas de papa a la siguiente campaña, son los principales hospederos de plagas como el ""gorgojo de los Andes"" , ""polillas"", "" piqui piqui"", ""diabrotica"" etc; enfermedades como la ""rancha"", ""alternaría"", ""roña"" ""verruga"" y ""nematodos"" ; que al no realizarse ningún tipo de control de estas plantas por parte de los agricultores, en especial en cultivos como los cereales, estas plantas persisten en los campos de cultivo junto a las plagas que se reproducen y sobreviven año tras año·, constituyendo importantes focos de infestación e infección de plagas, enfermedades y nematodos para -los cultivos de papa aledaños y posteriores.",Ingeniero Agrónomo,2010
Universidad Nacional de San Antonio Abad del Cusco,Las tasas del impuesto a la renta por las rentas del capital y por las rentas del trabajo - caso de la primera y quinta categorías en la ciudad del Cusco - año 2009,"Quispe Sencia, Frine Epifania","Abrill Góngora, Edmundo","El Sistema Tributario en el Perú está conformado por el conjunto de tributos; el cual esta normado por el Decreto Legislativo N°. 771 considerada como la Ley Marco del Sistema Tributario Nacional, vigente a partir de 1994. El Sistema Tributario Nacional actual presenta ciertas debilidades como: a) Bajos niveles de presión tributaria como por ejemplo en el periodo 2009 alcanzó el 13.8% del PBI disminuyendo en 1.8% con respecto al periodo 2008 b) Gran cantidad de beneficios tributarios, e) Fraccionamientos, d) Alta informalidad y e) Bajos niveles de recaudación del país; para ello debería existir una reforma tributaria de modo que haya una mayor seguridad jurídica de los contribuyentes, un mayor equilibrio entre contribuyente y Estado, un sistema duradero que proporcione los ingresos necesarios para el Presupuesto General de la República y pueda cumplir su objeto de lograr un mejor bienestar para toda la sociedad peruana. La Facultad de Ciencias Contables y Financieras, es una organización que no está ajena a estas necesidades, que en efecto podrían causar deficiencias en el Proceso de Formación Académica-Profesional; en la perspectiva del Mejoramiento Continuo en la Formación de Profesionales de Contabilidad a Nivel Universitario, por estas consideraciones nace la inquietud de realizar el presente trabajo de investigación siendo el propósito de este trabajo de investigación a pesar de sus limitaciones, efectuar una investigación innovadora, con el fin de dar a conocer que, entre las Rentas del Capital y las Rentas del Trabajo existen sustanciales diferencias; en estas últimas la generación de rentas o ingresos llevan implícito una gran dedicación, con esforzado trabajo mental predominantemente, con la dedicación de más tiempo a las 8 horas señaladas en la Ley laboral, con un agotamiento mayor al exigido en la generación de las Rentas de Capital; esfuerzos y dedicación pocas veces reconocidos por los empleadores y las insatisfacciones por las remuneraciones percibidas; esfuerzo y dedicación que deben acumularse hasta la edad mínima para acogerse a los regímenes previsionales. Siendo nuestro objetivo principal el de determinar cómo las modificaciones del Impuesto a la Renta en las Rentas de Primera Categoría vigentes a partir del ejercicio gravable 2009, afectan el principio de capacidad contributiva de los contribuyentes de rentas de Quinta Categoría, respecto a los contribuyentes de rentas de Primera Categoría, cabe mencionar que el presente estudio contiene tres capítulos debidamente estructuradas, de acuerdo a la metodología de la investigación científica.",Contador Público,2011
Universidad Nacional de San Antonio Abad del Cusco,Actividad antibacteriana In Vitro de los extractos etanólicos y clorofórmico de Flourensis polycephala Dillon (Phauka) y elaboración de una forma farmacéutica tópica para su evaluación In Vivo en infecciones dérmicas por Staphilococcus aureus en ratones albinos,"Castro Sumaria, Verónica","Del Carpio Jiménez, Carla","El presente trabajo tiene por finalidad demostrar la actividad antibacteriana in vitro del extracto etanólico y clorofórmico de las hojas de Flourensia polycephala Di/Ion (Phauka) y efecto antibacteriano in vivo elaborando una forma farmacéutica a partir del extracto que presentó mayor actividad antibacteriana in vitro, el extracto etanólico y clorofórmico de las de la hojas de Flourensia polycephala Dillon (Phauka), se ha obtenido por previa maceración con dichos solventes. Estos fueron sometidos al control microbiológico, para los microorganismos de salmonella, Coliformes fecales, mesofilos viables, hongos y levaduras, en lo que se comprobó que los extractos no presentaron contaminación alguna, se realizó el análisis fitoquímico determinándose los siguientes compuestos, esteroides, ácidos fenólicos y flavonoides. Mediante el método de Kirby Bawer o disco difusión en placa, se determinó la actividad antibacteriana in vitro, sobre cepas de Staphy/ococcus aureus A TCC 25923. Donde los diámetros de la prueba de disco difusión en placa para Staphy/ococcus aureus ATCC 25923, del extracto etanólico fue de 18.50 mm y del extracto clorofórmico fue de 14.00 mm a la concentración de 30.21 mg/disco para ambos extractos. La determinación de la actividad antibacteriana sobre cepas de Staphylococcus aureus ATCC 25923 se pudo ver que a la concentración de 3.24 mg/disco, el extracto etanólico presenta una actividad antibacteriana ligera con un halo de inhibición promedio de 8.1 mm, a la concentración de 30.21 mg/disco el extracto etanólico presenta una actividad antibacteriana marcada con un halo de inhibición de 18.50 mm, mientras que el extracto clorofórmico a una concentración de 4. 70 mg/disco presenta una actividad antibacteriana ligera con un halo de inhibición de 8.4 mm, a la concentración de 30.21 mg el extracto clorofórmico tiene una actividad moderada con un halo de inhibición de 14.00 mm. Con estos resultados se concluyen que el extracto etanólico de las hojas de Flourensia polycephala Di/Ion (Phauka) presenta mayor actividad antibacteriana. Se realizó la elaboración de la forma farmacéutica donde se probó diferentes formulaciones, eligiéndose la formulación que presentó mejor homogeneidad, y mejores características, siendo esta una emulsión 0/W a una concentración de 0.25 g de extracto etanólico de las hojas de Flourensia polycephala Di/Ion (Phauka). el que resultó más eficaz para curar la infección producida a los ratones de experimentación en menos días. Se concluye que los extractos etanólico y clorofórmico de las hojas de Flourensia polycephala Di/Ion (Phauka), presentan actividad antibacteriana in vitre frente las a la cepa en estudio en comparación a los fármaco patrón, mientras que para el efecto antibacteriano in vivo se concluye que la forma farmacéutica emulsión 0/W elaborada con el extracto etanólico de las hojas de Flourensia polycephala Di/Ion (Phauka) a la concentración de 0.25 gr, curó la infección en menos días.",Químico Farmacéutico,2011
Universidad Nacional de San Antonio Abad del Cusco,Plan de gestión de riego en la subcuenca de Patacancha distrito de Ollantaytambo - Cusco,"Quispe Quispe, Jesús Macario","Huamán Miranda, Guido Vicente","El presente trabajo de investigación denominado: ""plan para la gestión de riego"", se desarrolló en el ámbito de la subcuenca del Patacancha, distrito de Ollantaytambo, provincia de Urubamba, departamento del Cusca; el área del ámbito de estudio es de 144.72 km2. El objetivo general del presente trabajo fue formular y planificar las propuestas técnicas alternativas en el buen manejo y aprovechamiento del potencial de los recursos hídricos y del suelo, en la subcuenca de Patacancha. Planteándose consecuentemente para lograr objetivos específicos la oferta, demanda hídrico de la situación actual, clasificar los suelos por su aptitud con fines de riego más adecuadas para hacer frente a los problemas de erosión, identificar las organizaciones y actores sociales externos e internos y formular los planes de acción de acuerdo a su potencialidad, mediante la intervención con los beneficiarios en los talleres participativos en cada comunidad campesina de la subcuenca de Patacancha. En la subcuenca de Patacancha se inventario 18 fuentes hídricas con un caudal total de 2146 l/s, la demanda actual consumo humano, consumo pecuario y consumo agrícola es de 317.61 l/s habiendo una superávit de 1828.39 l/s sin uso actual, se determinó la demanda con proyecto para el año 2021 tomando en cuenta los tres aspectos con una tasa de crecimiento de 1.5% poblacional, demanda de 375.01 l/s teniendo una superávit de 1770.99 l/s. A nivel de la subcuenca se tiene 1958 ha aptos para riego y 12512 ha no son aptos para riego, suelos actualmente irrigados a nivel de la subcuenca 313 ha y suelos no irrigados se tiene 1645 ha. La subcuenca tiene 7 comunidades campesinas, 2 comunidades con intervención indirecta, 5 comunidades con intervención directa en el ámbito de estudio se encontraron las siguientes organizaciones como: comité de gestión de la sub cuenca de Patacancha, defensa civil y comité de artesanos con fines de turismo vivencia! a nivel de las comunidades se encontró diferentes organizaciones como: rondas campesinas, comité de reforestación, asociación de artesanos y JASS. A nivel de la subcuenca tenemos en la actualidad 587 familias teniendo en promedio 4 personas por familia teniendo una población de 2348 personas. La mayor parte de los productores orientan la producción al autoconsumo familiar y una mínima parte del producto al mercado para su comercialización a consecuencia del minifundio, mal manejo de los suelos agrícolas, inadecuada uso del recurso hídrico y falta de organización a nivel de la Subcuenca de Patacancha El recurso suelo con un buen manejo eficiente del recurso hídrico, tiene características favorables para la instalación y diversificación de la cedula de cultivo en todas las comunidades. Se priorizo 6 proyectos a nivel de la subcuenca en tema de riego con presupuestos referenciales siendo un total de 1 350 700 soles. Al concluir el trabajo de investigación se obtiene que en la subcuenca del Patacancha cuente con potencialidad hídrica y de suelo, razón por la cual se planteó propuestas a nivel de perfil en cada comunidad campesina, garantizando con el apoyo de financiamiento por parte de los municipios Distritales, Provinciales y Gobierno Regional del Cusco.",Ingeniero agrónomo,2011
